SETTLEMENTDATE,RRP_NSW1
2021-01-01 00:30:00,38.33
2021-01-01 01:00:00,34.1133
2021-01-01 01:30:00,33.56868
2021-01-01 02:00:00,30.63721
2021-01-01 02:30:00,28.39962
2021-01-01 03:00:00,24.76621
2021-01-01 03:30:00,25.64945
2021-01-01 04:00:00,25.65645
2021-01-01 04:30:00,31.39235
2021-01-01 05:00:00,31.15931
2021-01-01 05:30:00,28.07063
2021-01-01 06:00:00,24.88937
2021-01-01 06:30:00,8.57
2021-01-01 07:00:00,0.00053
2021-01-01 07:30:00,25.12142
2021-01-01 08:00:00,0.00051
2021-01-01 08:30:00,25.45561
2021-01-01 09:00:00,27.72549
2021-01-01 09:30:00,31.81237
2021-01-01 10:00:00,26.23835
2021-01-01 10:30:00,27.26265
2021-01-01 11:00:00,27.6343
2021-01-01 11:30:00,27.41754
2021-01-01 12:00:00,32.5
2021-01-01 12:30:00,32.51
2021-01-01 13:00:00,32.51
2021-01-01 13:30:00,30.26682
2021-01-01 14:00:00,32.87296
2021-01-01 14:30:00,32.51
2021-01-01 15:00:00,33.55865
2021-01-01 15:30:00,37.87496
2021-01-01 16:00:00,38.33
2021-01-01 16:30:00,42.48289
2021-01-01 17:00:00,38.33
2021-01-01 17:30:00,36.07611
2021-01-01 18:00:00,35.52007
2021-01-01 18:30:00,38.33
2021-01-01 19:00:00,38.33033
2021-01-01 19:30:00,38.39227
2021-01-01 20:00:00,37.80137
2021-01-01 20:30:00,38.3199
2021-01-01 21:00:00,35.48
2021-01-01 21:30:00,36.48451
2021-01-01 22:00:00,35.09067
2021-01-01 22:30:00,36.00941
2021-01-01 23:00:00,35.42652
2021-01-01 23:30:00,37.21643
2021-01-02 00:00:00,36.49117
2021-01-02 00:30:00,32.95224
2021-01-02 01:00:00,33.24073
2021-01-02 01:30:00,25.62435
2021-01-02 02:00:00,24.40401
2021-01-02 02:30:00,26.13008
2021-01-02 03:00:00,25.37521
2021-01-02 03:30:00,25.47656
2021-01-02 04:00:00,31.66088
2021-01-02 04:30:00,28.25008
2021-01-02 05:00:00,31.88955
2021-01-02 05:30:00,37.10802
2021-01-02 06:00:00,24.8871
2021-01-02 06:30:00,28.06522
2021-01-02 07:00:00,27.43993
2021-01-02 07:30:00,33.5886
2021-01-02 08:00:00,32.526
2021-01-02 08:30:00,35.52008
2021-01-02 09:00:00,35.52008
2021-01-02 09:30:00,31.98252
2021-01-02 10:00:00,32.28902
2021-01-02 10:30:00,32.24869
2021-01-02 11:00:00,26.24476
2021-01-02 11:30:00,25.92986
2021-01-02 12:00:00,26.02786
2021-01-02 12:30:00,18.51396
2021-01-02 13:00:00,12.51
2021-01-02 13:30:00,24.75999
2021-01-02 14:00:00,31.98301
2021-01-02 14:30:00,35.52008
2021-01-02 15:00:00,33.06194
2021-01-02 15:30:00,32.5001
2021-01-02 16:00:00,32.51
2021-01-02 16:30:00,32.51
2021-01-02 17:00:00,39.13
2021-01-02 17:30:00,39.12005
2021-01-02 18:00:00,38.33038
2021-01-02 18:30:00,38.33016
2021-01-02 19:00:00,38.33038
2021-01-02 19:30:00,36.87377
2021-01-02 20:00:00,35.52004
2021-01-02 20:30:00,31.89
2021-01-02 21:00:00,32.41239
2021-01-02 21:30:00,30.46181
2021-01-02 22:00:00,26.08533
2021-01-02 22:30:00,34.05594
2021-01-02 23:00:00,33.46561
2021-01-02 23:30:00,35.56937
2021-01-03 00:00:00,36.69635
2021-01-03 00:30:00,37.31704
2021-01-03 01:00:00,36.05793
2021-01-03 01:30:00,31.39
2021-01-03 02:00:00,31.13435
2021-01-03 02:30:00,31.13607
2021-01-03 03:00:00,31.03525
2021-01-03 03:30:00,26.05947
2021-01-03 04:00:00,31.88285
2021-01-03 04:30:00,36.97544
2021-01-03 05:00:00,35.48
2021-01-03 05:30:00,35.78259
2021-01-03 06:00:00,32.62574
2021-01-03 06:30:00,27.94515
2021-01-03 07:00:00,33.21278
2021-01-03 07:30:00,32.6613
2021-01-03 08:00:00,30.29929
2021-01-03 08:30:00,36.52306
2021-01-03 09:00:00,36.46166
2021-01-03 09:30:00,35.48
2021-01-03 10:00:00,26.92099
2021-01-03 10:30:00,12.5
2021-01-03 11:00:00,17.5624
2021-01-03 11:30:00,16.77977
2021-01-03 12:00:00,12.51
2021-01-03 12:30:00,0.00057
2021-01-03 13:00:00,12.50013
2021-01-03 13:30:00,0.00021
2021-01-03 14:00:00,0.00035
2021-01-03 14:30:00,12.51
2021-01-03 15:00:00,31.86607
2021-01-03 15:30:00,24.2908
2021-01-03 16:00:00,32.66952
2021-01-03 16:30:00,32.51
2021-01-03 17:00:00,33.81333
2021-01-03 17:30:00,37.31714
2021-01-03 18:00:00,38.33
2021-01-03 18:30:00,38.32974
2021-01-03 19:00:00,38.33016
2021-01-03 19:30:00,39.0001
2021-01-03 20:00:00,35.51991
2021-01-03 20:30:00,35.52
2021-01-03 21:00:00,34.68893
2021-01-03 21:30:00,34.10217
2021-01-03 22:00:00,32.51
2021-01-03 22:30:00,38.33
2021-01-03 23:00:00,35.48
2021-01-03 23:30:00,38.33032
2021-01-04 00:00:00,36.03916
2021-01-04 00:30:00,36.48227
2021-01-04 01:00:00,35.48
2021-01-04 01:30:00,30.825
2021-01-04 02:00:00,31.50984
2021-01-04 02:30:00,32.4999
2021-01-04 03:00:00,32.06525
2021-01-04 03:30:00,31.6062
2021-01-04 04:00:00,32.5001
2021-01-04 04:30:00,36.22953
2021-01-04 05:00:00,35.48
2021-01-04 05:30:00,35.4801
2021-01-04 06:00:00,35.52
2021-01-04 06:30:00,33.91311
2021-01-04 07:00:00,38.33022
2021-01-04 07:30:00,39.12
2021-01-04 08:00:00,35.52
2021-01-04 08:30:00,35.51976
2021-01-04 09:00:00,37.40378
2021-01-04 09:30:00,39.13
2021-01-04 10:00:00,39.12
2021-01-04 10:30:00,39.0
2021-01-04 11:00:00,38.33022
2021-01-04 11:30:00,38.32978
2021-01-04 12:00:00,38.33033
